model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,1039,190.0,0.182868,0.016788,0.173901,0.16608
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,1039,190.0,0.182868,0.17987,0.14321,0.018549
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,104,36.0,0.346154,0.071219,0.300802,0.274935
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,104,36.0,0.346154,0.277196,0.230734,0.078738
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,935,154.0,0.164706,0.010733,0.159786,0.153972
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,935,154.0,0.164706,0.169044,0.133474,0.011854
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,raw,278,45.0,0.161871,0.018711,0.153615,0.14316
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,candidate,calibrated,278,45.0,0.161871,0.184137,0.129893,0.04192
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,28,7.0,0.25,0.075807,0.221794,0.174193
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,deferred,calibrated,28,7.0,0.25,0.276165,0.190917,0.026165
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,250,38.0,0.152,0.012316,0.145979,0.139684
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,250,38.0,0.152,0.17383,0.123058,0.049545
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,1039,190.0,0.182868,0.016788,0.173901,0.16608
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,1039,190.0,0.182868,0.17987,0.14321,0.018549
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,208,60.0,0.288462,0.055567,0.256517,0.232894
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,208,60.0,0.288462,0.26072,0.203843,0.032632
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,831,130.0,0.156438,0.007081,0.153222,0.149357
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,831,130.0,0.156438,0.159633,0.128033,0.015024
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,278,45.0,0.161871,0.018711,0.153615,0.14316
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,278,45.0,0.161871,0.184137,0.129893,0.04192
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,56,17.0,0.303571,0.05959,0.274396,0.243982
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,56,17.0,0.303571,0.262007,0.215667,0.041564
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,222,28.0,0.126126,0.008399,0.123148,0.117727
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,222,28.0,0.126126,0.164494,0.108256,0.04201
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,candidate,raw,934,154.0,0.164882,0.010492,0.160084,0.15439
