model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.512386239003,0.031438420933,3,1182,462.0,0.390862944162,0.5693001443,0.467318062819,236,123.0,0.521186440678,1.333425049527,0.266233766234,0.356736242884,0.641649048626,0.032511992788,uncertainty,True,uncertainty_selected,uncertainty,0.512386239003,0.48094781807,0.0
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.53799878836,0.046933694141,3,1050,387.0,0.368571428571,0.753169564387,0.547438774628,210,117.0,0.557142857143,1.511627906977,0.302325581395,0.487666034156,0.678571428571,0.047142857143,prior,False,one_standard_error,uncertainty_prior,0.538136263718,0.491045821491,0.086031200287
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.625163863069,0.095232525201,3,868,310.0,0.357142857143,0.804237484102,0.618116925837,174,112.0,0.64367816092,1.802298850575,0.361290322581,0.440677966102,0.71469740634,0.071840263483,prior,False,one_standard_error,uncertainty_prior,0.627360109487,0.533430133957,0.213392021203
DrugBAN,bindingdb,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.375864859835,0.049896117392,3,771,267.0,0.346303501946,0.506851554604,0.332514697331,154,34.0,0.220779220779,0.637531008318,0.12734082397,0.341807909605,0.622366288493,-0.031330209562,uncertainty,True,uncertainty_selected,prior,0.498930598612,0.360768459278,0.0
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.1,0.2,uncertainty_prior_support,True,3,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.593600807163,0.01132019059,3,1182,463.0,0.391708967851,0.740228959708,0.585748055544,236,151.0,0.639830508475,1.633433393125,0.326133909287,0.407969639469,0.670190274841,0.061899242693,uncertainty_prior_support,False,one_standard_error,uncertainty_prior_support,0.593600807163,0.582280616573,0.095721907266
DrugBAN,bindingdb,seed_4,drug,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.532149415315,0.032850217548,3,1050,399.0,0.38,0.694351085086,0.522808168915,210,115.0,0.547619047619,1.441102756892,0.288220551378,0.46110056926,0.661904761905,0.041904761905,prior,False,one_standard_error,uncertainty_prior_support,0.574531414674,0.527217848653,0.036837807367
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.540584419248,0.069831416477,3,868,310.0,0.357142857143,0.720331830269,0.521840402987,174,99.0,0.568965517241,1.593103448276,0.31935483871,0.40395480226,0.695965417867,0.05310827501,prior,False,one_standard_error,uncertainty_prior_support,0.58621461369,0.515988567625,0.043029823683
DrugBAN,bindingdb,seed_4,drug,base,0.9,0.2,0.2,uncertainty_prior_support,True,3,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability|target_esm_knn_distance|target_esm_nearest_train_distance,0.552203667764,0.003177639653,3,771,262.0,0.339818417639,0.75624259512,0.547392411865,154,87.0,0.564935064935,1.662461584217,0.332061068702,0.505649717514,0.716369529984,0.056187947623,uncertainty_prior_support,False,one_standard_error,uncertainty_prior_support,0.552203667764,0.54902602811,0.049843565241
DrugBAN,bindingdb,seed_5,target,base,0.8,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.498645317407,0.055237705866,3,895,234.0,0.261452513966,0.764621074001,0.528773932511,179,116.0,0.648044692737,2.478632478632,0.495726495726,0.528,0.835195530726,0.096648044693,prior,False,one_standard_error,prior,0.498645317407,0.443407611541,0.261965148755
DrugBAN,bindingdb,seed_5,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.573296149168,0.120982264633,3,795,222.0,0.279245283019,0.768407150606,0.51218220795,159,93.0,0.584905660377,2.094594594595,0.418918918919,0.484,0.797169811321,0.07641509434,prior,False,one_standard_error,uncertainty_prior,0.573506953417,0.453001866518,0.339517056712
