model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,support_reference,support_state,residual_n,residual_share,error_count,error_rate,error_rate_delta_vs_all
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_seen,149,0.596,9.0,0.060403,-0.091597
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,both_unseen,19,0.076,10.0,0.526316,0.374316
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,70,0.28,14.0,0.2,0.048
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,audit_fit,target_unseen,12,0.048,5.0,0.416667,0.264667
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,source_train,both_unseen,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,all,222,1.0,28.0,0.126126,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_seen,135,0.608108,6.0,0.044444,-0.081682
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,both_unseen,13,0.058559,8.0,0.615385,0.489258
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,drug_unseen,65,0.292793,11.0,0.169231,0.043105
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,audit_fit,target_unseen,9,0.040541,3.0,0.333333,0.207207
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,all,222,1.0,28.0,0.126126,0.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,source_train,both_unseen,222,1.0,28.0,0.126126,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,all,219,1.0,28.0,0.127854,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_seen,135,0.616438,6.0,0.044444,-0.083409
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,both_unseen,12,0.054795,8.0,0.666667,0.538813
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,drug_unseen,62,0.283105,11.0,0.177419,0.049565
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,audit_fit,target_unseen,10,0.045662,3.0,0.3,0.172146
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,all,219,1.0,28.0,0.127854,0.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,source_train,both_unseen,219,1.0,28.0,0.127854,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,all,194,1.0,21.0,0.108247,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_seen,128,0.659794,6.0,0.046875,-0.061372
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,both_unseen,8,0.041237,5.0,0.625,0.516753
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,drug_unseen,51,0.262887,8.0,0.156863,0.048615
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,audit_fit,target_unseen,7,0.036082,2.0,0.285714,0.177467
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,all,194,1.0,21.0,0.108247,0.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,source_train,both_unseen,194,1.0,21.0,0.108247,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,all,250,1.0,38.0,0.152,0.0
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_seen,149,0.596,8.0,0.053691,-0.098309
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,both_unseen,18,0.072,10.0,0.555556,0.403556
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,drug_unseen,71,0.284,15.0,0.211268,0.059268
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,audit_fit,target_unseen,12,0.048,5.0,0.416667,0.264667
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,source_train,all,250,1.0,38.0,0.152,0.0
