model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,calibration_status,candidate_n,candidate_error_count,deferred_n,deferred_error_count,residual_n,residual_error_count,residual_has_two_classes
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,validation,cross_fitted,1039,190.0,104,36.0,935,154.0,True
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,test,fitted,278,45.0,28,7.0,250,38.0,True
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,validation,cross_fitted,1039,190.0,208,60.0,831,130.0,True
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,test,fitted,278,45.0,56,17.0,222,28.0,True
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,validation,cross_fitted,934,154.0,93,22.0,841,132.0,True
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,test,fitted,243,34.0,24,6.0,219,28.0,True
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,validation,cross_fitted,934,154.0,187,48.0,747,106.0,True
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,test,fitted,243,34.0,49,13.0,194,21.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,validation,cross_fitted,1039,190.0,104,36.0,935,154.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.1,0.2,test,fitted,278,45.0,28,7.0,250,38.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,cross_fitted,1039,190.0,208,64.0,831,126.0,True
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,fitted,278,45.0,56,17.0,222,28.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,cross_fitted,934,154.0,93,27.0,841,127.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,fitted,243,34.0,24,6.0,219,28.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,validation,cross_fitted,934,154.0,187,47.0,747,107.0,True
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,fitted,243,34.0,49,13.0,194,21.0,True
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,validation,cross_fitted,688,74.0,69,14.0,619,60.0,True
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,fitted,176,19.0,18,5.0,158,14.0,True
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,validation,cross_fitted,688,74.0,138,28.0,550,46.0,True
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,fitted,176,19.0,35,9.0,141,10.0,True
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,validation,cross_fitted,588,55.0,59,12.0,529,43.0,True
